,Api Nama,Link,Deskripsi,Kategori,Follower
11, del.icio.us API,https://www.programmableweb.com/api/delicious-0," From their site: del.icio.us is a social bookmarking website -- the primary use of del.icio.us is to store your bookmarks online, which allows you to access the same bookmarks from any computer and add bookmarks from anywhere, too. On del.icio.us, you can use tags to organize and remember your bookmarks, which is a much more flexible system than folders.
The API provides read/write access to Delicious bookmarks and tags via an HTTP-based interface. The RESTful API returns responses in XML.", Bookmarks, 241
12, Google App Engine API,https://www.programmableweb.com/api/google-app-engine," [This API is no longer available. Its functions have been split among the following APIs: Google App Engine Admin, Google App Engine Task Queue, Google Cloud App Engine Tasks, Google App Engine Admin RPC. This profile is being maintained purely for historical and research purposes.]
Use the Google App Engine platform to run web apps on Google's infrastructure, the same scalable systems that run Google applications. Use the platform to run your apps reliably, even if you have heavy load and data needs. The environment has dynamic web serving, persistent storage with queries, sorting and transactions, automatic scaling and load balancing, APIs for authenticating users and sending email using Google Accounts, and a local testing environment.", Tools, 262
13, Foursquare API,https://www.programmableweb.com/api/foursquare," The Foursquare Places API provides location based experiences with diverse information about venues, users, photos, and check-ins. The API supports real time access to places, Snap-to-Place that assigns users to specific locations, and Geo-tag. Additionally, Foursquare allows developers to build audience segments for analysis and measurement. JSON is the preferred response format.", Social, 592
14, Google Gadgets API,https://www.programmableweb.com/api/google-gadgets," From their site: The Google Gadgets API provides a way to put third-party content onto the Google homepage. The main use of the Google Gadgets API is to create gadgets (mini-applications) that users can add to their Google personalized homepages and other Google properties. For example, you could create a photo album gadget, or a gadget that displays an interactive game. The API is designed to be simple enough so that anyone can turn his or her web page or application into a gadget.", Widgets, 160
15, DocuSign Enterprise API,https://www.programmableweb.com/api/docusign-enterprise," DocuSign is a Cloud based legally compliant eSignature service. DocuSign service provides an intuitive web, mobile and an API interfaces. DocuSign API allows an application to connect DocuSign service or embed parts of DocuSign user experience.
By connecting to DocuSign web services applications can create electronic signature transactions, retrieve electronically signed documents, get up to date status on outstanding envelopes and do other Create/Read/Update/Delete operations.
By embedding DocuSign interface applications can provide single-sign-on capability and insert signing or sending user experience into their applications.", Electronic Signature, 98
16, Amazon S3 API,https://www.programmableweb.com/api/amazon-s3," Since 2006 Amazon Web Services has been offering web services commonly known as cloud computing. AWS Provides a reliable, low cost infrastructure platform that powers hundreds of thousands of businesses.
Amazon S3 API, the Simple Storage Service provides a simple web services interface used to store objects using the Amazon online storage infrastructure. Users can then download the data or use the data with other AWS services, such as Amazon Elastic Cloud Computer (EC2). Using this web service, developers can build applications that make use of Internet storage.
The API uses Buckets, Objects, Keys and Operations. An object has four parts: value, key, metadata, and an access control policy. Objects are stored in buckets. The API is REST based. Responses are formatted in JSON.", Storage, 283
17, Google AdSense API,https://www.programmableweb.com/api/google-adsense," The Google AdSense API is ideal for developers whose users create their own content through blogging, web publishing, forum/wiki/community creation, or any other application where substantial web content is generated.
Using the AdSense API, developers can let users sign up for AdSense through their site or program, generate detailed performance reports for users, and choose how the AdSense revenue is shared with our revenue sharing program. Additionally users can create accounts to store publisher website information, then generate ad code snippets and filter out unwanted ads.
A previous SOAP version has been deprecated in favor of REST with responses formatted as JSON.", Advertising, 180
18, GeoNames API,https://www.programmableweb.com/api/geonames," Geonames is a geographical database with web services that let users extract useful information about different places, such as weather, timezone and post codes. The GeoNames geographical database covers all countries and contains over eight million placenames that are available for download free of charge. Users can edit, correct and add new names using a wiki interface.Geonames provides a suite of Webservices including the following categories:Fulltext searchPlace HierarchyWikipediaPostal CodesReverse GeocodingThe APIs use RESTful protocol and responses vary in format between XML, JSON, CSV, and TXTWhile the GeoNames data is free, the data is available without costs, there is a Service Level Agreement available for premium web services.", Reference, 534
19, Wikipedia API,https://www.programmableweb.com/api/wikipedia," The unofficial Wikipedia API. Because Wikipedia is built using MediaWiki, which in turn supports an API, Wikipedia does as well. This provides developers code-level access to the entire Wikipedia reference. The goal of this API is to provide direct, high-level access to the data contained in the MediaWiki databases. Client programs can use the API to login, get data, and post changes. The API supports thin web-based JavaScript clients, such as Navigation popups or LiveRC, end-user applications (such as vandal fighter), and can be accessed by another web site (tool server's utilities).
The API uses RESTful calls and supports a wide variety of formats including XML, JSON, PHP, YAML and others.", Reference, 769
20, Box API,https://www.programmableweb.com/api/box," Box is a modern content management platform that transforms how organizations work and collaborate to achieve results faster.Box Platform provides content APIs to build secure content experiences in custom apps. With Box Platform, organizations can bring content management and collaboration services to their own custom apps or build custom integrations with Box.", Content, 232
21, Amazon EC2 API,https://www.programmableweb.com/api/amazon-ec2," The Amazon Elastic Compute Cloud (Amazon EC2) API is a web service that enables you to launch and manage Linux/UNIX and Windows server instances in Amazon's data centers. Giving users the ability to ""compute"" in the cloud, it provides users with complete control of their computing resources and lets them run on Amazon's computing environment. Amazon EC2 changes the economics of computing by allowing users to pay only for capacity that is actually used.
This is a REST-based API. The SOAP interface was deprecated on 1 December 2015.
The WSDL for each supported API version is available from the following URI:
http://ec2.amazonaws.com/doc//AmazonEC2.wsdl", Cloud, 123
22, LinkedIn API,https://www.programmableweb.com/api/linkedin," LinkedIn is the world's largest business social networking hub. Launched in 2003, LinkedIn has millions of users and is implemented in over 200 countries. One purpose of the site is to allow registered users to maintain a list of contact details of people with whom they have some level of relationship, called Connections. Users can invite anyone (whether a site user or not) to become a connection.
The LinkedIn API is a RESTful platform that provides a simple, consistent representation of people, companies, jobs, and the interactions and relationships between them. Our query language lets you read data in XML and JSON at the granularity and aggregation that you choose. Use OAuth 1.0a to authorize users and begin making REST API calls using any programming language.The API’s access is restricted to authorized developers.", Social," 1,481"
23, Bing API,https://www.programmableweb.com/api/bing," [The Bing API is now the Bing Web Search API. This profile is being maintained purely for historical and research purposes.]The Bing API provides an experience similar to Bing.com/search by returning search results that Bing determines are relevant to a user's query. The results include Web pages and may also include images, videos, and more. Free trial keys are available here: https://azure.microsoft.com/en-us/try/cognitive-services/?api=bing-web-search-api.", Search, 339
24, Instagram Graph API,https://www.programmableweb.com/api/instagram-graph," Instagram is a photo sharing iPhone app and service. Users take photos and can share them with Instagram contacts, as well as friends on other social networks like Twitter and Facebook. The Instagram API provides access to user authentication, friend connections, photos and all the other elements of the iPhone app--including uploading new media.", Photos," 1,168"
25, Yelp Fusion API,https://www.programmableweb.com/api/yelp-fusion," The Yelp Fusion APIs are RESTful APIs and users can retrieve business review and rating, information for a particular geographic region or location.display review information for a particular business, determine accurate neighborhood name information for a particular location, track recent reviews for a particular business, display pictures of highly rated local businesses and of the top reviewers for that business, determine a particular business' review and rating information based on the phone number for that business. The default output is JSON. This output format was chosen due to the availability of JSON parsers in many languages. The following Yelp Fusion APIs are available: Search, Phone Number Search, Business Search, Transaction, Reviews, and Autcomplete - each API has a separate ProgrammableWeb entry.", Recommendations, 344
